,Human,Pig_Chim,Com_Chim,Gibbon,Baboon,Ver_Monkey,Macaca_Thibet,Bor_Oran,Sum_Oran,Gorilla,Cat,Dog,Pig,Sheep,Goat,Cow,Buffalo,Wolf,Tiger,Leopard,Indian_Rhino,White_Rhino,Black_Bear,Brown_Bear,Polar_Bear,Giant_Panda,Rabbit,Hedgehog,Dormouse,Squirrel,Blue_Whale
Human,0.0,179.42725154573492,148.19374043409135,262.1385148743346,246.4093240326382,322.07187186791003,242.8407450642843,337.20081925933266,346.78156134508816,200.37304244302746,519.1655124366738,539.5467280247484,445.903334580596,460.4541154152676,422.58331431975296,504.84045907310224,467.56986773643433,549.6816498643827,615.1566006862832,592.9937962735946,335.40627037004253,260.6045263529969,778.0812215248674,822.5069298426749,845.3434313020352,656.0148395385057,602.3419237053405,1950.8697201465195,708.9317794280831,540.7358715828691,405.2738709754942
Pig_Chim,179.42725154573492,0.0,86.78664222987183,402.7195891048955,220.6363375150388,237.2592428129294,197.62681625130412,460.08078652369113,461.2312721077868,250.74871399240092,534.7196848316144,562.4275033754274,503.45685757617326,467.27674054370044,422.43660847507635,518.972531877136,509.20903445106825,577.7996864090721,634.617455603851,619.8534193710425,286.2127291461483,207.44350385251582,826.7431114706745,872.9667575105076,893.7948180655867,752.0997639546105,573.8326559979658,2001.4176016822519,729.1654097002199,528.003753436844,331.10651673374946
Com_Chim,148.19374043409135,86.78664222987183,0.0,371.5960246663892,241.71595007640929,244.25765028526823,197.9723816741257,437.53622423088996,443.5170706957075,223.31121016181945,534.6907830278222,563.1482006705074,517.5453063958486,491.5740577696339,455.51927204254804,540.7733466487421,512.5678704412024,574.8757177937076,625.850582464527,610.8658521954186,312.14909252892534,218.3483256276037,818.6021859377695,849.1734595411485,871.1059355802774,734.905119592929,575.7687677859029,2017.7884195171619,764.0853577604352,563.2820582268445,355.96463676901465
Gibbon,262.1385148743346,402.7195891048955,371.5960246663892,0.0,378.4606711135058,494.33089564201697,390.44882668948867,200.0192523369616,213.61363186587764,323.98703886036986,528.9913243072244,517.8565020462735,415.18445518321585,480.3300028973332,463.1149268740813,509.58330931209366,442.7196523091477,516.0889290586321,607.2057192060267,586.4832690127517,465.95833928984644,424.5690459906385,754.980498685281,812.8838694874094,836.7893865629312,545.4862992430081,701.6476717185861,1828.6636411169727,672.1456409892414,580.8556645019644,531.8638025852654
Baboon,246.4093240326382,220.6363375150388,241.71595007640929,378.4606711135058,0.0,245.7610141241946,151.75100552812557,452.19028945836254,455.7463779597522,293.7536355471313,524.3129212615128,536.0881899836039,485.3737807079564,507.8436679675434,449.870039980056,563.9820155012333,529.4408114757665,548.3605073736862,608.6252858276226,597.8036011535952,317.95556027209193,263.0855623409635,789.2986453728312,848.1161296019278,869.3927824133573,709.3993449919878,639.6626459283237,1921.9448072003647,659.7103274581491,491.0939157673427,454.7075704431964
Ver_Monkey,322.07187186791003,237.2592428129294,244.25765028526823,494.33089564201697,245.7610141241946,0.0,170.10319707222257,533.1904621243604,538.1975130540397,316.46946925916683,647.1285504146339,670.5976790498821,612.8214060949655,588.9470002653426,550.5575713255838,644.8547932872501,606.8081665963317,686.9610341992432,734.5029164768232,714.3649540894929,343.6369807223071,316.21286280078283,916.4271189359133,964.3628797859516,985.9364561666781,844.9241858525112,682.98285536007,2039.8672353865095,758.0576062108603,556.7260524123938,458.1970697441659
Macaca_Thibet,242.8407450642843,197.62681625130412,197.9723816741257,390.44882668948867,151.75100552812557,170.10319707222257,0.0,423.20973562998876,426.7423217994349,306.81897726277134,582.0111235065924,602.2920108524842,494.39607459169156,518.9131933282413,480.7446084875262,594.7896814215574,558.0800383204491,614.0507660490607,683.9245410770958,673.3114691443072,274.25354734195304,233.5581327353954,870.1933712972827,920.2807629446331,944.8021990523243,754.3999767262285,657.7670851632056,1914.3261149476843,669.4459152313601,485.92044407734926,463.21636588001996
Bor_Oran,337.20081925933266,460.08078652369113,437.53622423088996,200.0192523369616,452.19028945836254,533.1904621243604,423.20973562998876,0.0,104.59886749471258,416.5290244980007,647.7607090585584,634.5710882928421,370.7406219464665,499.7935782119617,499.4814343637464,547.0337803400731,496.01884548536924,637.2799751314584,749.6539374302369,731.0984341359064,486.04046598082704,476.0061922547044,874.9584720834531,951.2480567563036,979.2469085123164,607.6495664544764,806.5366154785571,1721.8447222333882,620.0904496259969,547.1897670558401,606.9346103328179
Sum_Oran,346.78156134508816,461.2312721077868,443.5170706957075,213.61363186587764,455.7463779597522,538.1975130540397,426.7423217994349,104.59886749471258,0.0,446.74796838214417,666.0059834569712,674.0882482644406,387.36091756737994,515.0896533370328,512.5133691772522,582.6299406830834,543.5577487352688,674.5751501232772,776.182017909172,761.3565544944673,480.955328940872,483.47460932002286,917.3106718041405,993.2442594314131,1019.2354669670618,654.961392512964,810.1645959867726,1708.0833819287218,620.8052366589855,559.322743612494,621.5027593671585
Gorilla,200.37304244302746,250.74871399240092,223.31121016181945,323.98703886036986,293.7536355471313,316.46946925916683,306.81897726277134,416.5290244980007,446.74796838214417,0.0,516.9231676996448,507.31861008739,557.5366284460629,502.3081570436271,461.9028549687764,482.3564673172828,430.2333625507052,521.4998731399606,564.4543732401181,533.4674642833846,448.7225466052031,364.47248855997674,726.5628366482152,768.870263842133,787.6964669138212,674.7515501045232,633.501766323204,2063.820803420179,803.3429925737169,623.5840518303522,360.09534218872443
